Name,UserName,Time,Text,Likes,Retweets,TweetURL,UserURL,City,Country
Coalition for Urban Transitions,CoalitionUrban,8/16/2020 14:30,The COVID19 crisis presents an opportunity to change course a make or break moment for global climate targets The world could avoid 03C of global warming by 2050 if governments invest in green recovery BuildBackBetter Read on CarbonBrief,2,0,https://twitter.com/CoalitionUrban/status/723261791149551617,https://twitter.com/CoalitionUrban,0,0
Jordan Tierney,jordantyranny,1/29/2022 21:24,"idioteque guide to climate change.

boomers: ""take the money run, take the money run!""

gen x: ""here i'm alive, everything all of the time!""

millennial: ""ice age coming, ice age coming...""

gen z: ""we're not scare mongering, this is really happening, happening!!!""
3
3
26",3,26,https://twitter.com/jordantyranny/status/1487537094092279820,https://twitter.com/jordantyranny,0,0
Hannah Nicklin,hannahnicklin,2/16/2022 21:32,"We’re also stoked to have brought 
@afterclimate
 into the mini track, author of the forthcoming DIGITAL GAMES AFTER CLIMATE CHANGE to speak on what meaningful action indies can take in the context of climate crisis
schedule.gdconf.com
Independent Games Summit: Making Room for Climate Justice
Tuesday March 22 5:30pm - 6:00pm - A thirty-minute talk that offers practical advice on meaningful action all indie game studios and professionals can take...
1
3
8",3,8,https://twitter.com/hannahnicklin/status/1494062134468173830,https://twitter.com/hannahnicklin,0,0
Mattie,Matdredalia,4/24/2022 23:34,"Replying to 
@Surfthedesert
 and 
@wilson6923
Speaking as someone with SEVERE CPTSD and trauma...

How about the trauma countless are suffering day in and day out because of climate change? Fires, tornadoes, flooding, etc.

How many more have to lose everything or die before we DO SOMETHING?
1
21",,21,https://twitter.com/Matdredalia/status/1518372802524549128,https://twitter.com/Matdredalia,0,0
Scalawag,scalawagmag,3/25/2022 22:08,"Big players in North Carolina's hog industry say they're fighting climate change with pig poop.

Neighbors, small farmers, and experts say the biogas ""solution"" these multi-million dollar companies are selling is a bunch of hogwash:
scalawagmagazine.org
Biogas: The hog industry’s billion gallon problem
Biogas promises less pollution, more jobs, and a renewable energy source. Residents and farmers disagree.
7
10",7,10,https://twitter.com/scalawagmag/status/1507479440737112073,https://twitter.com/scalawagmag,0,9
Sue Higginson,SueHigginson_,2/27/2022 23:23,"In Lismore we have done floods for ever. This is not a flood - this is catastrophic. This is extreme. This is climate change. Lismore needs back up. People are on and in their roof some are screaming for their lives and water is still rising. Friends are rescuing friends.
163
1,893
4,378",1893,4378,https://twitter.com/SueHigginson_/status/1498076292410863622,https://twitter.com/SueHigginson_,0,Australia
Eddie Lloyd,worldzonfire,3/4/2022 23:49,"This is not Ukraine. This is Lismore @ the forefront of the climate crisis We are in a war zone here. Our enemy is the Australian government. We are fighting the govt because they refuse to accept this is climate change & take action #lismorefloods #auspol #nswpol #climatechange
96
828
2,281",828,2281,https://twitter.com/worldzonfire/status/1499894770453614595,https://twitter.com/worldzonfire,0,Australia
Eddie Lloyd,worldzonfire,3/19/2022 23:17,"No mention of #climatechange or #lismorefloods by #insiders Here is footage from our rescue boat as we left my partners home to sink. The gov’t has abandoned us. Ppl r camping in tents, businesses have closed 4 good, families split, lives lost, homes demolished. Pls don’t 4get us
108
1,239
2,742",1239,2742,https://twitter.com/worldzonfire/status/1505322724725788672,https://twitter.com/worldzonfire,0,Australia
Jessica Walton's Flag Means Death - They/Them,JessHealyWalton,4/23/2022 23:48,"Yeah clips like this need to be right there in people’s minds when they go to vote. This is how much they care about people suffering the effects of climate change. They don’t care. They never will. #AusPol
Quote Tweet
blakandblack
@blakandblack
 · Mar 25
When Immigration Minister, Peter Dutton was overheard quipping about the plight of #Pacific island nations facing rising seas from #climatechange 

Dutton then added, ""time doesn't mean anything when you're about to have water lapping at your door"".

#SolomonIslands #China
2
5",2,5,https://twitter.com/JessHealyWalton/status/1518013951367294976,https://twitter.com/JessHealyWalton,0,Australia
Greymata,Greymata4,3/7/2022 23:51,"Replying to 
@SaharKhaliliFP
 @annajhenderson
 and 2 others
Let’s give devotion to Climate Change a go! Keep left at the election! #auspol #Albo4PM
1
1
14",1,14,https://twitter.com/Greymata4/status/1500982394840502272,https://twitter.com/Greymata4,0,Australia
Barry Mulligan,BazzaCC,3/7/2022 22:17,"The LNP SAY that no one could have known this flood event was coming.
This from a UN report two years ago.

The name of the UN report two years ago?
""How climate change is making record-breaking floods the new normal"". 

They can't read or don't want to. #LNPClimateCriminals
8
70
142",70,142,https://twitter.com/BazzaCC/status/1500958752442175488,https://twitter.com/BazzaCC,0,Australia
Susan Engel,susanengel_oz,3/5/2022 22:52,"#insiders Raf Epstein notes the cost of the clean-up is the cost of climate change - brilliant.
36
297
1,353",297,1353,https://twitter.com/susanengel_oz/status/1500242756824072193,https://twitter.com/susanengel_oz,0,Australia
Ben Eltham,beneltham,3/1/2022 23:37,"Stop calling it a ‘once-in-100 years flood’. 

It’s a flood caused by climate change.
252
686
3,675",686,3675,https://twitter.com/beneltham/status/1498804776699834368,https://twitter.com/beneltham,0,Australia
Grand Duke Rivers of Beer & Antifa 2x AZ 2x Pfizer,MarekRivers,3/2/2022 22:21,"Rex Patrick revealed 'secret' national cabinet docs showing LNP were warned last September of massive weather systems coming. Today, interviewed by LiSA Millar, Barnababy predictably said 'no one could have predicted these floods'. Not one Q about Climate Change #LNPFail #ABCFail
43
677
1,651",677,1651,https://twitter.com/MarekRivers/status/1499147985258950657,https://twitter.com/MarekRivers,0,Australia
Sarah Macdonald,sarahvmac,3/6/2022 23:11,"Replying to 
@whereisdaz
Was just having this chat. Remember the second phase of lies after ‘there’s no such thing as climate change or it’s the volcanos’ we got to ‘ok there is climate change but we can’t afford to act’ . We were told it would cost more to not act . And here it is
3
5
35",5,35,https://twitter.com/sarahvmac/status/1500610121940221960,https://twitter.com/sarahvmac,0,Australia
The Lady Don’t Mind (Sarah),livo_sarah,3/12/2022 22:38,"When are we going to stop calling the catastrophic events triggered by climate change ‘natural disasters’?
3
1
30",1,30,https://twitter.com/livo_sarah/status/1502776032910540800,https://twitter.com/livo_sarah,0,Australia
Dan Ilic,danilic,4/11/2022 23:56,"3 out of 6 shows I've seen at #MICF this year have had Climate Change themes in them — I wonder if it's something we should be worried about.
3
12
78",12,78,https://twitter.com/danilic/status/1513667259704963072,https://twitter.com/danilic,0,Australia
David Shoebridge,DavidShoebridge,1/20/2022 22:01,"Australians want real action on climate change. They want politicians to look up and see the problem. This means really strong national support for the ⁦⁦
@Greens
⁩ climate policies. This is 100% what we are campaigning for in this election.
smh.com.au
Labor has climate policy edge over Coalition, solid support for Greens
Asked to choose between a series of climate policies, a quarter chose the Greens’ plan. When narrowed to just the major parties, Labor had the edge in the survey.
1
11
26",11,26,https://twitter.com/DavidShoebridge/status/1484284869450813440,https://twitter.com/DavidShoebridge,0,Australia
